Date,Corn,Coffee,Cocoa,Live Cattle,Cotton,Soybean,Sugar,Wheat,Market Volatility
20200110,385.75,118.95,2589.0,127.425,71.31,935,14.07,564.5,12.56
20200109,383.25,117.35,2554.0,126.725,70.69,933.75,13.71,562.25,12.54
20200108,384.25,119.15,2501.0,126.35,69.96,938.25,13.47,552.75,13.45
20200107,384.5,122.4,2533.0,126.525,69.83,935,13.59,550.25,13.79
20200106,384.75,122.15,2484.0,127.275,70.04,932.75,13.73,550,13.85
20200103,386.5,126.35,2519.0,124.725,69.2,930.5,13.31,554.5,14.02
20200102,391.5,127.1,2532.0,125.775,69.27,944.25,13.13,560.25,12.47
20191231,387.75,129.7,2540.0,124.7,69.05,943,13.42,558.75,13.78
20191230,388.25,132.15,2463.0,124.1,69.56,939.5,13.53,556,14.82
20191227,390,132.5,2497.0,123.5,68.92,929.5,13.54,556.25,13.43
20191226,388.5,127.3,2405.0,123.275,68.7,937.75,13.44,549,12.65
20191224,387.5,129.4,2443.0,122.65,68.7,936.5,13.37,541,12.67
20191223,388.75,125.3,2427.0,122.4,68.61,934,13.45,539.5,12.61
20191220,387.75,130.7,2417.0,122.225,67.96,928.25,13.54,542.25,12.51
20191219,386.5,127.2,2435.0,122.125,67.58,924.5,13.55,545.25,12.5
20191218,387,131.7,2506.0,122.25,66.74,928.5,13.43,548.25,12.58
20191217,390,132.2,2534.0,122.225,66.44,928.75,13.27,556.25,12.29
20191216,388,135.8,2545.0,122.3,66.97,922,13.29,549.75,12.14
20191213,366.25,129.45,2660.0,122.375,66.8,907.5,13.5,539.25,12.63
20191212,367,135.9,2609.0,120.425,67.17,898.25,13.52,539.25,13.94
20191211,357.75,133.85,2656.0,120.575,65.88,893.5,13.42,530.75,14.99
20191210,363.25,132.05,2673.0,119.875,65.93,901.25,13.46,534.75,15.68
20191209,365.75,127.3,2646.0,120.175,65.38,897.25,13.38,532,15.86
20191206,366.5,123.7,2652.0,120.2,65.0,889.5,13.18,532.5,13.62
20191205,365.5,123.95,2645.0,119.925,63.51,884.25,13.08,532,14.52
20191204,368.75,120.6,2612.0,119.45,63.17,878,13.06,535,14.8
20191203,372,122.85,2631.0,120.55,63.1,871,12.86,530.5,15.96
20191202,373.5,121.5,2604.0,120.75,63.85,870.5,12.75,543.25,14.91
20191129,371.25,118.55,2617.0,121.2,64.4,876.75,12.94,547.5,12.62
20191127,362.75,117.3,2646.0,121.425,64.91,882,12.79,528.5,11.75
20191126,367.5,115.7,2705.0,120.4,64.9,884.25,12.78,530.25,11.54
20191125,370.5,117.8,2647.0,119.7,64.69,892.5,12.82,531,11.87
20191122,368.75,114.6,2666.0,118.675,63.42,897,12.83,515.25,12.34
20191121,368.5,115.25,2696.0,119.325,61.84,901,12.61,509,13.13
20191120,366.75,109.7,2682.0,119.3,62.24,905,12.75,515.5,12.78
20191119,370,102.7,2694.0,118.775,63.44,911.5,12.69,512,12.86
20191118,367.75,105.55,2742.0,118.7,64.21,910.25,12.76,507.25,12.46
20191115,371.25,106.15,2766.0,119.1,64.86,918.25,12.73,502.75,12.05
20191114,375.75,108.05,2761.0,119.075,64.27,900.25,12.81,507.75,13.05
20191113,375.25,107.95,2675.0,118.1,64.22,902.5,12.85,509,13.0
20191112,377.75,105.6,2633.0,119.75,64.74,905.75,12.59,517,12.68
20191111,373.25,106.0,2533.0,119.875,64.29,905,12.57,505.75,12.69
20191108,377.25,109.45,2503.0,119.25,64.72,919.5,12.57,510.25,12.07
20191107,375.25,109.1,2440.0,119.0,64.35,925,12.39,512.5,12.73
20191106,378.75,108.0,2444.0,119.0,63.69,915,12.56,516.75,12.62
20191105,381.75,105.8,2484.0,119.45,63.81,921.75,12.71,515.25,13.1
20191104,383.25,103.65,2486.0,120.075,63.66,925.75,12.51,509.75,12.83
20191101,389.25,104.0,2478.0,119.525,64.23,924.25,12.48,516,12.3
20191031,390,101.95,2403.0,111.675,64.44,916.75,12.48,508.75,13.22
20191030,390.75,99.35,2454.0,113.375,65.7,916,12.41,509.25,12.33
20191029,386.25,98.95,2485.0,113.35,64.72,918.25,12.34,511.5,13.2
20191028,384,100.5,2463.0,112.875,64.79,920.75,12.54,511.75,13.11
20191025,386.75,99.45,2435.0,111.975,64.9,920.25,12.35,517.75,12.65
20191024,386.75,96.45,2463.0,110.425,64.65,933.25,12.3,516,13.71
20191023,387.75,97.75,2457.0,110.2,64.95,933.75,12.15,520.75,14.01
20191022,388,98.9,2448.0,109.875,64.67,934,12.18,518,14.46
20191021,387.25,96.35,2474.0,110.95,64.56,933.25,12.27,523.5,14.0
20191018,391,95.7,2486.0,110.475,65.16,934,12.32,532.25,14.25
20191017,394.75,92.9,2488.0,112.4,64.99,931.5,12.24,525.5,13.79
20191016,391.75,93.55,2515.0,112.35,64.54,928,12.35,513.25,13.68
20191015,393.25,94.45,2522.0,111.0,63.53,934,12.59,507,13.54
20191014,397.75,94.85,2449.0,110.625,62.22,940.5,12.52,511,14.57
20191011,397.75,93.7,2506.0,109.45,63.88,936,12.41,508,15.58
20191010,380.25,93.5,2460.0,108.725,61.42,923.5,12.41,493,17.57
20191009,394.25,95.45,2407.0,108.475,61.01,923.75,12.41,500.25,18.64
20191008,395.75,95.7,2448.0,108.175,60.24,920.5,12.46,500.25,20.28
20191007,387,97.0,2422.0,108.25,60.75,915.25,12.52,489.25,17.86
20191004,384.75,99.0,2475.0,107.35,60.59,916.25,12.76,490.5,17.04
20191003,388.75,102.05,2520.0,106.8,60.52,911.75,12.74,488.75,19.12
20191002,387.75,100.6,2482.0,106.05,60.25,913.75,12.89,489,20.56
20191001,392.5,101.35,2453.0,104.625,59.9,919.5,12.88,498.75,18.56
20190930,388,101.15,2442.0,104.575,59.75,906,11.92,495.75,16.24
20190927,371.5,100.9,2490.0,105.025,59.82,883,11.53,487.25,17.22
20190926,372.5,100.85,2505.0,102.95,59.2,888.5,11.63,484.25,16.07
20190925,374.25,100.95,2469.0,103.0,59.37,889.25,11.8,477.25,15.96
20190924,374.75,99.15,2439.0,102.125,59.32,894.25,11.5,481.75,17.05
20190923,373.25,99.0,2454.0,101.85,59.83,892.5,11.22,483,14.91
20190920,370.75,98.4,2473.0,99.35,59.13,882.75,11.09,484.25,15.32
20190919,372.75,98.35,2468.0,99.8,58.99,893,10.99,488,14.05
20190918,371.25,96.85,2401.0,100.375,59.36,888.75,11.0,489.5,13.95
20190917,368,96.85,2394.0,99.35,60.12,893.75,10.94,484.25,14.44
20190916,374,100.8,2383.0,98.0,61.59,900,11.09,488.75,14.67
20190913,355.5,99.5,2296.0,98.075,61.63,884.75,10.89,485.75,13.74
20190912,354.5,100.35,2244.0,98.725,62.25,883,10.76,485.75,14.22
20190911,348.25,100.15,2235.0,98.5,59.37,854,10.81,477.5,14.61
20190910,348.5,98.35,2218.0,96.15,59.5,859.25,10.88,484.5,15.2
20190909,340.75,95.0,2235.0,94.2,59.12,845,10.92,474.5,15.27
20190906,342.5,93.85,2216.0,94.875,58.73,845,11.02,460.25,15.0
20190905,346.5,92.2,2184.0,97.875,59.16,849.75,10.97,464,16.27
20190904,346,93.4,2208.0,99.025,58.77,862.5,11.01,456.25,17.33
20190903,349.75,92.35,2184.0,99.275,58.31,856.5,11.19,447.25,19.66
20190830,358,93.6,2161.0,105.0,59.05,857,11.14,451.25,18.98
20190829,359.75,91.9,2124.0,105.65,58.88,856.25,11.21,469.75,17.88
20190828,362.75,94.2,2198.0,105.075,58.35,852.75,11.37,472.25,19.35
20190827,357,93.8,2206.0,104.75,57.54,846.25,11.24,473.75,20.31
20190826,358.5,94.15,2197.0,105.475,57.66,853.75,11.43,473,19.32
20190823,359.75,92.6,2208.0,104.625,57.97,843.25,11.47,475.25,19.87
20190822,363.25,93.5,2200.0,104.975,58.87,856,11.58,467.25,16.68
20190821,362.5,92.85,2191.0,102.675,59.87,860.5,11.39,462.5,15.8
20190820,359.5,91.45,2149.0,101.8,59.17,855.75,11.44,460,17.5
20190819,365,91.15,2126.0,100.2,59.18,854,11.47,465.5,16.88
20190816,371,92.85,2111.0,99.925,60.08,867.25,11.64,470.75,18.47
20190815,360.75,94.55,2134.0,100.2,59.66,858,11.63,469,21.18
20190814,359,94.45,2143.0,100.2,59.61,861,11.61,473.75,22.1
20190813,366,96.35,2153.0,100.55,59.34,872,11.72,472,17.52
20190812,385.25,93.75,2194.0,105.05,58.03,861.5,11.56,471.75,21.09
20190809,410.25,97.3,2195.0,108.05,59.05,873.75,11.86,499.5,17.97
20190808,411,97.4,2205.0,107.95,59.54,865,11.43,498.5,16.91
20190807,406.5,96.9,2224.0,107.6,58.58,848.75,11.34,488.25,19.49
20190806,404,97.05,2252.0,107.125,58.27,847.75,11.73,484,20.17
20190805,405.25,95.65,2308.0,107.8,57.91,850.25,11.82,494.5,24.59
20190802,399.5,98.15,2320.0,107.65,58.94,850.25,12.02,490.75,17.61
20190801,392.75,97.25,2329.0,107.875,61.84,847,12.12,475.75,17.87
20190731,400.25,99.65,2345.0,106.9,63.22,864,12.21,487.25,16.12
20190730,411.25,99.5,2379.0,108.1,62.87,878.75,12.15,497.25,13.94
20190729,417,101.15,2383.0,108.65,63.77,885.75,12.07,503.5,12.83
20190726,414.5,99.75,2389.0,108.65,64.24,883.25,12.02,496,12.16
20190725,418.5,100.65,2434.0,108.65,63.81,882.5,12.0,499.5,12.74
20190724,424,101.0,2463.0,108.9,63.89,891,12.06,497.75,12.07
20190723,425.5,102.3,2475.0,109.05,63.29,885.75,11.98,487.25,12.61
20190722,422.25,105.1,2532.0,108.45,62.79,888.25,11.56,487.25,13.53
20190719,430.75,105.85,2467.0,107.6,62.25,901.5,11.59,502.5,14.45
20190718,424.5,107.15,2440.0,107.4,60.78,881.25,11.55,493.5,13.53
20190717,436,105.95,2424.0,108.125,61.89,882.5,11.79,505.5,13.97
20190716,435.25,104.1,2454.0,108.225,62.33,887.75,11.99,507.5,12.86
20190715,441,108.8,2445.0,108.5,63.7,901.75,12.06,507.75,12.68
20190712,449.5,105.2,2528.0,108.475,62.36,906.75,12.3,536.25,12.39
20190711,447.75,105.5,2516.0,107.875,62.89,896.25,12.38,536.25,12.93
20190710,434.25,104.35,2534.0,107.625,63.54,893,12.5,511.75,13.03
20190709,431.75,105.9,2547.0,108.125,60.23,882.75,12.35,509.75,14.09
20190708,438.5,104.75,2602.0,106.15,62.33,875.25,12.45,516.75,13.96
20190705,434,109.45,2488.0,107.0,63.44,872.25,12.36,519.25,13.28
20190703,433,112.25,2458.0,105.45,63.75,885.25,12.54,518,12.57
20190702,413.5,108.25,2497.0,104.1,63.77,876.25,12.35,503.5,12.93
20190701,412,110.15,2526.0,104.1,63.17,885.5,12.57,514,14.06
20190628,420.25,108.25,2450.0,110.5,63.15,899.75,12.32,528,15.08
20190627,440,105.55,2478.0,110.575,62.99,887.75,12.53,547.5,15.82
20190626,443.25,104.9,2486.0,109.0,63.49,894.25,12.03,543.75,16.21
20190625,447.5,106.45,2489.0,107.75,62.2,903.5,12.33,535.75,16.28
20190624,446.75,102.0,2512.0,106.925,62.3,909,12.27,538,15.26
20190621,442.25,99.8,2527.0,106.55,61.19,902.75,12.22,526,15.4
20190620,450,101.05,2471.0,108.175,63.21,915.5,12.43,526.5,14.75
20190619,441,96.25,2538.0,108.5,65.38,903.25,12.5,522.25,14.33
20190618,449.75,94.3,2529.0,109.45,65.32,913.5,12.61,531.5,15.15
20190617,454.75,96.05,2500.0,109.45,65.63,912.75,12.66,539.5,15.35
20190614,453,96.0,2502.0,108.775,65.94,896.75,12.75,538.5,15.28
20190613,442,97.35,2527.0,109.05,66.83,888,12.75,535.5,15.82
20190612,430,99.05,2568.0,109.65,66.57,878,12.62,526.25,15.91
20190611,427.75,97.0,2539.0,110.675,65.65,859.25,12.54,518,15.99
20190610,415.75,98.6,2544.0,109.7,65.99,858.5,12.4,507.5,15.94
20190607,415.75,100.95,2478.0,106.925,65.59,856.25,12.5,504.5,16.3
20190606,420.5,102.05,2427.0,107.6,68.59,868.75,12.51,510,15.93
20190605,414.75,99.1,2401.0,107.85,68.74,869.75,12.21,490.75,16.09
20190604,425.25,105.65,2360.0,107.55,68.97,881.75,12.42,507.25,16.97
20190603,424.25,103.75,2351.0,106.775,69.42,879,12.19,519.75,18.86
20190531,427,104.6,2400.0,108.475,68.08,877.75,12.1,503,18.71
20190530,436.25,102.35,2428.0,110.075,69.34,889,11.76,514.5,17.3
20190529,418.75,99.5,2438.0,112.35,69.06,872,11.87,490.5,17.9
20190528,420.25,96.05,2450.0,111.55,69.47,856,11.75,504.75,17.5
20190524,404.25,93.3,2467.0,111.175,68.39,829.75,11.66,489.5,15.85
20190523,389.75,93.5,2426.0,110.8,67.48,821.5,11.57,470.25,16.92
20190522,394.5,91.75,2413.0,110.65,66.75,828.5,11.62,472.75,14.75
20190521,394.25,92.9,2446.0,110.85,67.32,822,11.81,478.75,14.95
20190520,389,88.25,2387.0,111.35,67.91,831.75,11.62,478.25,16.31
20190517,383.25,87.35,2353.0,111.275,65.99,821.75,11.55,465,15.96
20190516,379,90.0,2372.0,110.475,66.8,839.75,11.78,467,15.29
20190515,369.5,89.9,2338.0,109.675,66.35,835.5,11.85,448.75,16.44
20190514,360.5,89.55,2310.0,109.5,66.76,817.75,11.94,439.25,18.06
20190513,347.5,88.25,2304.0,109.75,65.45,791,11.84,431.25,20.55
20190510,342.5,89.45,2330.0,112.45,68.45,797,11.72,419,16.04
20190509,344.5,89.5,2326.0,111.95,70.23,800.25,11.78,421.75,19.1
20190508,355.25,87.2,2295.0,111.075,71.45,814.25,11.65,431.25,19.4
20190507,358,86.65,2291.0,112.275,72.28,817.75,11.95,430.5,19.32
20190506,355.75,88.8,2333.0,112.275,72.65,817.5,11.88,428,15.44
20190503,363,89.25,2378.0,113.425,74.78,829.5,12.01,428,12.87
20190502,362,90.25,2373.0,113.675,74.65,830.5,12.23,433.25,14.42
20190501,360,89.8,2314.0,113.875,75.91,839.5,12.21,425,14.8
20190430,353.25,91.85,2368.0,123.75,75.98,841.25,11.99,418.5,13.12
20190429,352,91.35,2392.0,124.775,76.13,847.5,11.63,426.75,13.11
20190426,351.25,92.7,2344.0,124.55,76.75,853.75,12.26,435,12.73
20190425,347.5,92.05,2294.0,124.05,76.97,859.25,12.36,434.75,13.25
20190424,346.75,90.45,2260.0,126.775,75.77,855.25,12.68,432.25,13.14
20190423,351.25,91.5,2304.0,128.325,76.57,862,12.7,438.75,12.28
20190422,354.75,91.1,2346.0,128.5,77.19,877,12.54,435.75,12.42
20190418,358.5,90.2,2380.0,128.525,77.31,880.5,12.76,444.25,12.09
20190417,358.25,87.05,2420.0,126.925,78.11,879,12.35,447,12.6
20190416,359,90.5,2364.0,127.15,77.94,888,12.51,445,12.18
20190415,362.75,91.4,2406.0,126.3,76.49,898.75,12.66,459.5,12.32
20190412,361,90.4,2424.0,126.55,78.11,895.25,12.77,464.5,12.01
20190411,360,90.25,2388.0,126.0,76.98,895.25,12.66,460.5,13.02
20190410,361.75,94.25,2443.0,125.875,77.62,902,12.81,458,13.3
20190409,360,93.65,2446.0,125.9,78.09,898.75,12.78,459.5,14.28
20190408,360,92.95,2430.0,125.8,78.92,898.75,12.57,465.25,13.18
20190405,362.5,93.2,2413.0,126.05,78.25,899,12.76,467.75,12.82
20190404,365.25,95.3,2415.0,127.55,77.32,906.5,12.71,470.75,13.58
20190403,362.75,95.35,2376.0,125.775,77.05,898.75,12.42,471,13.74
20190402,361.5,91.65,2356.0,126.275,77.27,900,12.66,464,13.36
20190401,361.75,92.1,2327.0,126.175,77.36,895.5,12.67,462.75,13.4
20190329,356.5,94.5,2280.0,125.7,77.61,884.25,12.53,457.75,13.71
20190328,374,94.0,2257.0,126.525,75.87,889.5,12.53,464.5,14.43
20190327,373.75,93.85,2248.0,126.25,76.95,887.5,12.58,469.5,15.15
20190326,377.25,95.35,2237.0,126.9,77.89,900.75,12.59,469.25,14.68
20190325,379.75,94.25,2216.0,127.575,77.73,906.5,12.48,469.5,16.33
20190322,378.25,93.9,2159.0,129.725,76.58,903.75,12.57,466,16.48
20190321,376.25,94.8,2132.0,129.9,77.18,910.5,12.5,466.5,13.63
20190320,371.5,94.75,2143.0,129.575,75.5,906,12.74,464.75,13.91
20190319,371.25,93.45,2202.0,129.125,75.65,904,12.78,456.5,13.56
20190318,371.5,93.65,2196.0,128.325,75.27,905.75,12.84,456.75,13.1
20190315,373.25,94.6,2197.0,129.1,75.5,909.25,12.52,462.25,12.88
20190314,361.5,93.95,2201.0,127.4,74.3,889.5,12.41,448.25,13.5
20190313,357.25,94.45,2203.0,126.675,75.72,889,12.36,440.25,13.41
20190312,356.5,92.8,2204.0,126.65,74.85,884.75,12.33,446.25,13.77
20190311,352.5,94.0,2189.0,129.0,73.2,877.75,12.29,422.25,14.33
20190308,354.75,95.3,2199.0,129.675,73.49,883.75,12.18,432.75,16.05
20190307,356,93.65,2183.0,128.95,71.9,890.75,12.14,431.5,16.59
20190306,362.5,95.5,2246.0,128.9,73.05,889.75,12.16,440.5,15.74
20190305,366,96.45,2158.0,128.825,73.45,901.25,12.44,454.25,14.74
20190304,365,94.1,2157.0,128.35,71.97,903.25,12.36,446.75,14.63
20190301,364,96.95,2218.0,129.55,72.73,899.25,12.62,454,13.57
20190228,362,95.2,2238.0,129.95,71.74,897.5,12.73,452.5,14.78
20190227,363.75,95.7,2304.0,129.4,71.19,903.5,12.91,461,14.7
20190226,366.25,93.55,2267.0,129.575,70.85,903.75,12.88,460.25,15.17
20190225,370.5,96.4,2247.0,128.55,71.93,911.75,13.1,466.75,14.85
20190222,375.25,96.45,2269.0,128.675,71.84,910.25,13.37,486.75,13.51
20190221,375.5,96.1,2256.0,127.625,72.19,911,13.24,486.5,14.46
20190220,370.75,97.55,2298.0,128.325,70.28,902.5,13.44,480.75,14.02
20190219,369.75,97.2,2340.0,127.875,70.41,900.75,13.35,489.75,14.88
20190215,374.75,97.95,2307.0,126.625,70.22,907.5,13.14,504.25,14.91
20190214,374.75,97.85,2232.0,126.125,70.13,903.5,12.61,507,16.22
20190213,378.75,98.9,2248.0,125.95,69.86,916.5,12.75,522.25,15.65
20190212,378.25,100.45,2227.0,126.825,69.78,917.5,12.85,520,15.43
20190211,372.75,100.2,2224.0,127.825,70.55,905,12.67,518.25,15.97
20190208,374.25,102.6,2196.0,127.375,72.55,914.5,12.71,517.25,15.72
20190207,376.5,104.3,2221.0,126.3,72.81,913.25,12.73,513.25,16.37
20190206,380,105.5,2257.0,126.4,73.66,921.75,12.9,526,15.38
20190205,380.75,104.85,2219.0,126.7,73.4,920.25,12.82,527.25,15.57
20190204,379.25,105.6,2228.0,125.725,72.76,918.5,12.85,525.75,15.73
20190201,378.25,103.7,2168.0,125.45,73.64,917.75,12.6,524.25,16.14
20190131,376.5,105.9,2168.0,124.8,74.4,915.25,12.73,516.5,16.57
20190130,381.25,102.1,2176.0,126.15,74.36,921,12.53,516.75,17.66
20190129,377.25,102.6,2215.0,126.475,74.15,919,12.69,513.25,19.13
20190128,379.75,102.65,2250.0,126.4,73.85,923.25,12.79,518.75,18.87
20190125,380.25,106.8,2225.0,126.05,74.13,925.25,12.44,520,17.42
20190124,377,105.3,2256.0,125.35,73.14,916,12.98,521.5,18.89
20190123,378.75,103.4,2245.0,125.55,73.52,915,12.97,526,19.52
20190122,379,103.35,2246.0,125.125,73.13,909.25,12.93,521.25,20.8
20190118,381.75,104.95,2307.0,126.525,73.89,916.75,13.03,517.75,17.8
20190117,380,102.4,2335.0,127.1,74.37,907.75,12.85,517.75,18.06
20190116,374,102.4,2322.0,127.825,73.27,894.5,13.17,512.5,19.04
20190115,371.25,101.3,2274.0,126.95,72.36,893.25,13.16,511,18.6
20190114,378.5,102.75,2341.0,125.425,72.99,890.75,12.75,514.25,19.07
20190111,378.25,103.85,2356.0,124.975,72.49,899.25,12.78,519.5,18.19
20190110,376.25,104.25,2369.0,124.875,72.85,895.5,12.67,513.75,19.5
20190109,382,105.3,2351.0,124.8,73.13,911.5,12.87,520,19.98
20190108,380,105.05,2382.0,125.3,71.67,906.25,12.76,517.75,20.47
20190107,382.25,102.75,2410.0,123.2,72.75,912.25,12.65,516.75,21.4
20190104,383,101.6,2361.0,121.925,72.52,909.5,11.93,517,21.38
20190103,379.75,102.15,2400.0,123.225,70.83,900.25,11.69,513.75,25.45
20190102,375.75,99.5,2394.0,123.525,70.84,894.75,11.93,506.75,23.22
20181231,375,101.85,2416.0,124.8,72.2,882.5,12.03,503.25,25.42
20181228,375.5,100.95,2408.0,124.075,72.19,882.75,12.39,511.5,28.34
20181227,374.5,101.75,2373.0,122.925,72.06,869,12.25,510.5,29.96
20181226,373.25,103.9,2429.0,121.35,73.5,870,12.39,510,30.41
20181224,377.75,102.2,2315.0,120.875,72.55,884,12.4,516.5,36.07
20181221,378.5,99.7,2271.0,120.875,73.18,884.75,12.34,514,30.11
20181220,375.25,102.5,2271.0,120.225,75.06,893.5,12.43,523.5,28.38
20181219,381.75,100.85,2317.0,119.725,76.71,900,12.47,522.5,25.58
20181218,385.5,94.35,2271.0,119.775,77.85,907.75,12.3,532.75,25.58
20181217,384,94.7,2230.0,119.025,78.54,904.75,12.49,535.25,24.52
20181214,376.75,96.95,2237.0,119.575,79.6,900.5,12.65,527.75,21.63
20181213,375.5,98.8,2200.0,119.45,79.41,907,12.75,527.75,20.65
20181212,376.25,97.75,2112.0,119.125,79.97,920,12.74,515.25,21.46
20181211,375,97.65,2066.0,118.375,80.02,915,12.83,509.75,21.76
20181210,374.25,100.45,2156.0,117.575,79.88,909.75,12.72,514.75,22.64
20181207,374,98.8,2175.0,117.9,80.23,916.75,12.87,519.5,23.23
20181206,372,100.65,2078.0,117.95,78.02,909.5,12.64,505.25,21.19
20181205,374.25,100.95,2060.0,118.3,80.11,913.5,12.72,514.5,20.965
20181204,374.25,101.9,2105.0,117.775,78.77,911.75,12.75,519.25,20.74
20181203,371.25,103.5,2144.0,116.875,78.91,905.75,12.91,515.75,16.44
20181130,366.5,103.25,2144.0,116.925,77.16,894.75,12.84,515.75,18.07
20181129,360.25,108.5,2106.0,116.6,76.64,887.25,12.87,496.5,18.79
20181128,360.5,110.1,2062.0,116.775,77.76,890.5,12.84,497.5,18.49
20181127,356.5,109.5,2086.0,116.7,76.77,875.5,12.34,498,19.02
20181126,356,107.0,2057.0,116.925,77.4,862.25,12.48,507.5,18.9
20181123,359,107.15,2061.0,117.1,74.92,881,12.47,499.75,21.52
20181121,361.75,110.3,2084.0,116.4,76.51,883,12.68,498.75,20.8
20181120,361.25,110.65,2144.0,115.7,75.27,881,12.46,500.75,22.48
20181119,362.25,112.35,2155.0,116.15,75.88,873.75,12.8,498.5,20.1
20181116,364.75,112.6,2193.0,115.35,76.12,892.25,12.69,506.75,18.14
20181115,367.5,110.05,2166.0,115.15,76.25,888.75,12.65,505.5,19.98
20181114,367,112.65,2158.0,114.6,76.39,870.5,12.65,503,21.25
20181113,366.5,109.2,2211.0,115.375,75.86,867.25,12.61,507.75,20.02
20181112,371.25,110.15,2209.0,114.925,76.38,871.75,12.94,519.75,20.45
20181109,369.75,113.85,2250.0,114.575,78.09,875.25,12.73,502,17.36
20181108,373.5,116.65,2265.0,116.55,79.01,867.5,12.84,507.75,16.72
20181107,372.25,115.6,2383.0,116.1,78.96,867.75,13.01,510.25,16.36
20181106,373.25,113.25,2379.0,115.425,77.43,872,12.96,512,19.91
20181105,374,117.1,2312.0,115.325,78.87,873,13.15,507.25,19.96
20181102,371.25,120.05,2267.0,117.075,78.79,875.25,13.44,508.75,19.51
20181101,366.75,117.8,2264.0,117.125,79.03,869,13.19,508,19.34
20181031,363.25,112.7,2234.0,115.85,76.86,839,13.19,500.5,21.23
20181030,364.75,112.4,2215.0,113.9,76.9,833.5,13.32,499.75,23.35
20181029,366.75,114.25,2195.0,114.3,77.17,839,13.5,507.25,24.7
20181026,367.75,119.65,2251.0,113.875,78.53,845,13.84,505.25,24.16
20181025,361,121.15,2209.0,113.35,77.68,841.75,13.97,487.25,24.22
20181024,368.25,120.25,2137.0,113.275,77.07,850.25,14.01,499.5,25.23
20181023,370.25,121.1,2187.0,112.775,78.99,857.5,13.81,509,20.71
20181022,369.5,117.65,2220.0,112.8,80.02,858.5,13.82,508,19.64
20181019,367,122.1,2162.0,112.25,77.92,856.75,13.89,514.75,19.89
20181018,370.75,122.05,2145.0,113.075,78.05,863.5,13.87,513,20.06
20181017,374.25,122.55,2226.0,112.925,77.92,885.75,13.73,517.5,17.4
20181016,375.25,117.65,2194.0,112.65,78.33,884.75,13.25,523.5,17.62
20181015,378.25,119.35,2141.0,113.375,78.72,891.5,13.43,525,21.3
20181012,373.75,116.55,2160.0,112.325,78.37,867.5,13.07,517.25,21.31
20181011,369.25,112.9,2097.0,112.625,76.81,858.25,12.92,508,24.98
20181010,362.75,111.9,2088.0,112.075,76.8,852.25,12.85,510.5,22.96
20181009,364.5,113.15,2119.0,113.35,77.4,863,12.97,515,15.95
20181008,366.5,111.85,2086.0,114.175,77.94,869.75,12.94,514,15.69
20181005,368.25,108.95,2024.0,113.8,76.49,869,12.63,521,14.82
20181004,367.5,106.95,2010.0,113.625,76.39,859.25,12.33,518,14.22
20181003,364.75,106.6,2019.0,113.2,76.85,861.5,12.23,515.25,11.61
20181002,367.5,107.65,2086.0,113.975,76.58,866,12.07,519.25,12.05
20181001,365.75,102.2,1990.0,113.675,76.7,857.75,11.61,509.5,12.0
